listing_creator,listing_id,asset_contract,token_id,buyer,quantity_bought,total_price_paid,gas_price,gas_used,block_number,timestamp,transaction_hash,event_type
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,69451,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,299999900000000,45236943,142201,4917192,1742969135,0x36b8bc129f5eb4897d23a426bd9488e00f9c2a898596e754503f0ed7156b5742,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44941232,161354,4917204,1742969159,0x635c4144d365143eae19b2b2681cf83cc49761f3d11c8c8486103fe84cc5a122,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44625043,161354,4917224,1742969199,0xb12933e0f2b20df4f37a39f38f9e0599c92c97816ddcfe3624bace9baf8da60f,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44371340,161354,4917244,1742969239,0x2e559a795a1d7497e3a9be904b1ed76e5693335eaa1709a52c5c4e834725675d,NewSale
0xa976A5990cd43cd72639Fa7056BB77Eaebe0A7C5,73694,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,250000000000000,44514263,140578,4917247,1742969245,0xd5459e6188d7d0b7c852d4c7507c2d202e7bf5b0bf201315fd664921f032ab40,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44900092,161354,4917263,1742969277,0x18a9a06d84f7521cfea74d9cbd9a2ff12288757f89daca4ba09a730941cc75f5,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0x8a89e9075dc6fbf51716d2b466c8e15a8f441de1,1,289990000000000,44870640,142201,4917272,1742969295,0x69235975e4d0e7451f80b5472912632614b5ec670dafa9dc1247fc32c1b66feb,NewSale
0x828A028ccf6EcF6E66E8F97D5b332A226bA86Acd,72011,0x7e5F161dd824d98AC3474eBf550716d0cb83E8C6,1,0x2ac59b7af734834c30c61f703ebc9dc337dc1cbd,1,500000000000000,44799149,162483,4917274,1742969299,0xeaba97eadbeb8b1ae1704f34c91c9ccbffd335f72fd9032e58ac66bb18326a11,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44491832,161354,4917284,1742969319,0x8042a534a0830217d6c0d142ba4a689be7ef99e75728cf8cdbd365246965a54d,NewSale
0x3E4aEBaF82d0202B6e2902aE590c4f08a82D26Ee,73672,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xead554461aa99288782cd63f46b5085d0dc39cee,1,270000000000000,44700000,140578,4917290,1742969331,0xedeac39e5d7dcef24bc87054726112521beb1509ee800f1e7ac91cc6e6c3bc9b,NewSale
